ticker,name,sector,most_recent_quarter,price_from,roc,earnings_yield,book_market_ratio,roc_rank,earnings_yield_rank,magic_rank
MCHP,Microchip Technology Incorporated,Technology,2022-12-31,2023-03-18,1.3415501417519582,0.05436366119638482,0.1427580225498699,70,532,602
EMR,Emerson Electric Co.,Industrials,2022-12-31,2023-03-18,0.8266233766233766,0.06385863429809914,0.23222414646214745,157,445,602
FLT,"FLEETCOR Technologies, Inc.",Technology,2022-12-31,2023-03-18,0.5521123542787575,0.07820285114594137,0.18507478632478633,266,336,602
HI,"Hillenbrand, Inc.",Industrials,2022-12-31,2023-03-18,0.5494473948614899,0.07855733933196848,0.3841538813831005,269,333,602
UNVR,Univar Solutions Inc.,Basic Materials,2022-12-31,2023-03-18,0.36662420382165606,0.11256122016250017,0.4552479815455594,427,177,604
QDEL,QuidelOrtho Corporation,Healthcare,2022-12-31,2023-03-18,0.41032911392405064,0.10085237279449401,0.8739974126778784,387,219,606
LZB,La-Z-Boy Incorporated,Consumer Cyclical,2023-01-31,2023-03-18,0.29631989962683686,0.17687327434066577,0.7346624693948933,514,92,606
WLK,Westlake Corporation,Basic Materials,2022-12-31,2023-03-18,0.294984414848399,0.18014626073871068,0.745891131732517,521,89,610
NOC,Northrop Grumman Corporation,Industrials,2022-12-31,2023-03-18,0.5428400239664469,0.07769693472893419,0.22537195671776372,271,340,611
CIVI,"Civitas Resources, Inc.",Energy,2022-12-31,2023-03-18,0.24923638172573195,0.32234647879138634,1.02372304199773,598,16,614
MUSA,Murphy USA Inc.,Consumer Cyclical,2022-12-31,2023-03-18,0.32913326993615,0.12502573277541987,0.12048261758691206,464,151,615
TEX,Terex Corporation,Industrials,2022-12-31,2023-03-18,0.368920837770678,0.10873937129016421,0.39026704921650845,425,193,618
WNC,Wabash National Corporation,Industrials,2022-12-31,2023-03-18,0.359717500247769,0.11118211364379325,0.3621363438992618,436,182,618
FBIN,"Fortune Brands Innovations, Inc.",Industrials,2022-12-31,2023-03-18,0.44298591549295774,0.08901267803169552,0.28614817415730337,353,270,623
GPOR,Gulfport Energy Corporation,Energy,2022-12-31,2023-03-18,0.263435227104185,0.2156234682011794,0.5848827809215844,571,55,626
